# BEAST v1.10.1
# Generated Tue Sep 11 01:25:24 CLST 2018 [seed=1536639898616]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-6917.761510712119	-581.009986202763	-6336.751524509356	101.8164725471741	291.1818232869686	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-6336.751524509356	0.0	-578.8979106711375
1000	-1951.9297690407918	-4.511336912743003	-1947.4184321280488	0.15518820347636708	0.44682339004804106	0.6157938677055272	3.0863260138477084	0.26887614465916204	0.24330559140943622	0.2500000001	0.23781826383140167	1.0	1.0	-1947.4184321280488	0.0	-2.6993661125290567
2000	-1871.8692437091895	-1.1505152901786768	-1870.7187284190109	0.056680497188042495	0.21625320879457813	1.4114362258361897	4.062756754953148	0.2718891893426499	0.23575911591523205	0.24281396292825605	0.24953773181386196	1.0	1.0	-1870.7187284190109	0.0	1.4178113164192656
3000	-1837.288556781905	2.758115696384337	-1840.0466724782893	0.06327039741059762	0.24610119355490334	8.996735641695938	9.873084638228477	0.3121854284319968	0.22361943931181757	0.2302084981362235	0.233986634119962	1.0	1.0	-1840.0466724782893	0.0	8.770201645801118
4000	-1830.63408284463	2.1710716457031483	-1832.8051544903333	0.060368437366012426	0.24899005296948434	7.892798663167604	12.060316919459604	0.3125978360615045	0.21974176980248245	0.2148501269646456	0.25281026717136734	1.0	1.0	-1832.8051544903333	0.0	8.364525553398751
5000	-1822.8407416303942	1.4542752166592514	-1824.2950168470534	0.059068014962452356	0.2216907490846954	27.978912248313502	16.061250709552272	0.3145926818342751	0.23176334263122123	0.19747233645757095	0.2561716390769325	1.0	1.0	-1824.2950168470534	0.0	10.45458944728903
6000	-1821.7714876669693	-1.1932517058002432	-1820.578235961169	0.0685773500450219	0.2692098242860715	31.786033601506123	21.659039196617808	0.32390611227653154	0.23020409575195974	0.18941600364154826	0.25647378832996026	1.0	1.0	-1820.578235961169	0.0	8.738022471340386
7000	-1819.5038555866622	-2.0592537606866514	-1817.4446018259755	0.0649056989743477	0.2339788214174912	39.926319665034214	29.29714575573595	0.3209060213713151	0.23065734481650546	0.18132257174682978	0.2671140620653495	1.0	1.0	-1817.4446018259755	0.0	9.093265517018171
8000	-1813.9199416087686	0.9787251798868581	-1814.8986667886554	0.06292874741448432	0.23008193119591808	20.71382555975617	24.92808861115149	0.32326492997002626	0.24459689523034986	0.16686188444913372	0.2652762903504899	1.0	1.0	-1814.8986667886554	0.0	10.388129906565531
9000	-1814.293796192618	0.3436200958733764	-1814.6374162884913	0.05921569437777181	0.22415783627352143	25.8868847280079	27.914392862386304	0.33583666127197387	0.2665984489372914	0.14953615714911994	0.2480287326416144	1.0	1.0	-1814.6374162884913	0.0	10.465934227973975
10000	-1813.755463673211	0.7301550769321565	-1814.485618750143	0.0615702876674656	0.2510955017201169	16.514654921628118	26.559190627636564	0.3275970431544832	0.2623394602474905	0.15926799191310106	0.25079550468492495	1.0	1.0	-1814.485618750143	0.0	9.874485255614424
11000	-1815.874448046707	0.6562282901097429	-1816.5306763368167	0.061494206858842576	0.2462551568535607	7.371463410041612	23.276067310427898	0.3293508006940003	0.25529991430023413	0.14978561878106253	0.26556366622470273	1.0	1.0	-1816.5306763368167	0.0	8.172820369667276
12000	-1813.2277811405322	1.3861052770609437	-1814.6138864175932	0.0548581769689655	0.21840416880744074	11.543541371397923	24.42051102155641	0.3170877664922367	0.2499316696168013	0.15673367763941515	0.27624688625154653	1.0	1.0	-1814.6138864175932	0.0	9.709472901385425
